"","assay","tiff_file","name","sample_id"
"1","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/201_D-EB-2_cropped.ome.tiff","D_EB_2","D_EB_2"
"2","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/201_D-EB-3_cropped.ome.tiff","D_EB_3","D_EB_3"
"3","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/202_D-EB-4_cropped.ome.tiff","D_EB_4","D_EB_4"
"4","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/202_D-EB-5_cropped.ome.tiff","D_EB_5","D_EB_5"
"5","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/203_D-EB-6_cropped.ome.tiff","D_EB_6","D_EB_6"
"6","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/203_D-EB-7_cropped.ome.tiff","D_EB_7","D_EB_7"
"7","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/207_CTEBV11_cropped.ome.tiff","CTEBV_11","CTEBV_11"
"8","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/207_CTEBV9_cropped.ome.tiff","CTEBV_9","CTEBV_9"
"9","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/228_D-EB-11_cropped.ome.tiff","D_EB_11","D_EB_11"
"10","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/230_D-EB-27_crooped.ome.tiff","D_EB_27","D_EB_27"
"11","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/230_D-EB-29_cropped.ome.tiff","D_EB_29","D_EB_29"
"12","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/234_CTEBV2_cropped.ome.tiff","CTEBV_2","CTEBV_2"
"13","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/236_D-EB-13_cropped.ome.tiff","D_EB_13","D_EB_13"
"14","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/236_D-EB-62_cropped.ome.tiff","D_EB_62","D_EB_62"
"15","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/237_D-EB-15_ cropped.ome.tiff","D_EB_15","D_EB_15"
"16","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/237_D-EB-16_cropped.ome.tiff","D_EB_16","D_EB_16"
"17","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/241_D-EB-21_cropped.ome.tiff","D_EB_21","D_EB_21"
"18","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/241_D-EB-22_cropped.ome.tiff","D_EB_22","D_EB_22"
"19","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/242_D-EB-23_cropped.ome.tiff","D_EB_23","D_EB_23"
"20","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/242_D-EB-24_cropped.ome.tiff","D_EB_24","D_EB_24"
"21","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/CellPelletSlide_Control_Scan1_Phenocycler_GM12878.ome.tiff","GM12878_NegCTL","GM12878_NegCTL"
"22","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/CellPelletSlide_Control_Scan1_Phenocycler_GM18502.ome.tiff","GM18502_NegCTL","GM18502_NegCTL"
"23","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/CellPelletSlide_Control_Scan1_Phenocycler_PC3Chung.ome.tiff","PC3Chung_NegCTL","PC3Chung_NegCTL"
"24","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/CellPelletSlide_Control_Scan1_Phenocycler_PC3Guise.ome.tiff","PC3Guise_NegCTL","PC3Guise_NegCTL"
"25","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/CellPelletSlide_Test_Scan1_Phenocycler_GM18502.ome.tiff","GM18502_PosCTL","GM18502_PosCTL"
"26","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/CellPelletSlide_Test_Scan1_Phenocycler_PC3Chung.ome.tiff","PC3Chung_PosCTL","PC3Chung_PosCTL"
"27","Phenocycler","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/Phenocycler/CellPelletSlide_Test_Scan1_Phenocycler_PC3Guise.ome.tiff","PC3Guise_PosCTL","PC3Guise_PosCTL"
"28","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/2468_D-EB-2_Rescanned_Cropped.ome.tiff","D_EB_2","D_EB_2"
"29","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/2468_D-EB-3_Rescanned_Cropped.ome.tiff","D_EB_3","D_EB_3"
"30","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/300_CellPellet_EBER-LMP1-EBNA1_Scan1_GM12878.ome.tiff","GM12878_PosCTL","GM12878_PosCTL"
"31","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/300_CellPellet_EBER-LMP1-EBNA1_Scan1_GM18502.ome.tiff","GM18502_PosCTL","GM18502_PosCTL"
"32","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/300_CellPellet_EBER-LMP1-EBNA1_Scan1_PC3Chiung.ome.tiff","PC3Chung_PosCTL","PC3Chung_PosCTL"
"33","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/300_CellPellet_EBER-LMP1-EBNA1_Scan1_PC3Guise.ome.tiff","PC3Guise_PosCTL","PC3Guise_PosCTL"
"34","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/301_CellPellet_NegCTL_PelletsOnly_GM12878.ome.tiff","GM12878_NegCTL","GM12878_NegCTL"
"35","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/301_CellPellet_NegCTL_PelletsOnly_GM18502.ome.tiff","GM18502_NegCTL","GM18502_NegCTL"
"36","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/301_CellPellet_NegCTL_Scan1_GM12878.ome.tiff","GM12878_NegCTL","GM12878_NegCTL"
"37","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/301_CellPellet_NegCTL_Scan1_GM18502.ome.tiff","GM18502_NegCTL","GM18502_NegCTL"
"38","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/301_CellPellet_NegCTL_Scan1_PC3Chung.ome.tiff","PC3Chung_NegCTL","PC3Chung_NegCTL"
"39","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/301_CellPellet_NegCTL_Scan1_PC3Guise.ome.tiff","PC3Guise_NegCTL","PC3Guise_NegCTL"
"40","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/CTEBV11.ome.tiff","CTEBV_11","CTEBV_11"
"41","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/CTEBV12.ome.tiff","CTEBV_12","CTEBV_12"
"42","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/CTEBV14.tif","CTEBV_14","CTEBV_14"
"43","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/CTEBV15.tif","CTEBV_15","CTEBV_15"
"44","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/CTEBV15_NegCTL.tif","CTEBV_15_NegCTL","CTEBV_15_NegCTL"
"45","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/CTEBV15_PosCTL.tif","CTEBV_15_PosCTL","CTEBV_15_PosCTL"
"46","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/CTEBV2.tif","CTEBV_2","CTEBV_2"
"47","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/CTEBV6.qptiff","CTEBV_6","CTEBV_6"
"48","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/CTEBV9.qptiff","CTEBV_9","CTEBV_9"
"49","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/D-EB-10.qptiff","D_EB_10","D_EB_10"
"50","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/D-EB-10_NegCTL.tif","D_EB_10_NegCTL","D_EB_10_NegCTL"
"51","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/D-EB-10_PosCTL.tif","D_EB_10_PosCTL","D_EB_10_PosCTL"
"52","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/D-EB-11.ome.tiff","D_EB_11","D_EB_11"
"53","RNAScopeRound1","/netfiles/volaric_research/DLBCL_EBV_detection/image_files/RNAScopeRound1/D-EB-12.ome.tiff","D_EB_12","D_EB_12"
