assay,tiff_file,sample_id,project_name,probe_control
Phenocycler,Z:/FUSION DATA/AshleyVolaric/Phenocycler/201_D-EB-2_cropped.ome.tiff,D_EB_2,Phenocycler,
Phenocycler,Z:/FUSION DATA/AshleyVolaric/Phenocycler/201_D-EB-3_cropped.ome.tiff,D_EB_3,Phenocycler,
Phenocycler,Z:/FUSION DATA/AshleyVolaric/Phenocycler/202_D-EB-4_cropped.ome.tiff,D_EB_4,Phenocycler,
Phenocycler,Z:/FUSION DATA/AshleyVolaric/Phenocycler/202_D-EB-5_cropped.ome.tiff,D_EB_5,Phenocycler,
Phenocycler,Z:/FUSION DATA/AshleyVolaric/Phenocycler/203_D-EB-6_cropped.ome.tiff,D_EB_6,Phenocycler,
Phenocycler,Z:/FUSION DATA/AshleyVolaric/Phenocycler/203_D-EB-7_cropped.ome.tiff,D_EB_7,Phenocycler,
Phenocycler,Z:/FUSION DATA/AshleyVolaric/Phenocycler/207_CTEBV11_cropped.ome.tiff,CTEBV_11,Phenocycler,
Phenocycler,Z:/FUSION DATA/AshleyVolaric/Phenocycler/207_CTEBV9_cropped.ome.tiff,CTEBV_9,Phenocycler,
Phenocycler,Z:/FUSION DATA/AshleyVolaric/Phenocycler/228_D-EB-11_cropped.ome.tiff,D_EB_11,Phenocycler,
Phenocycler,Z:/FUSION DATA/AshleyVolaric/Phenocycler/230_D-EB-27_crooped.ome.tiff,D_EB_27,Phenocycler,
Phenocycler,Z:/FUSION DATA/AshleyVolaric/Phenocycler/230_D-EB-29_cropped.ome.tiff,D_EB_29,Phenocycler,
Phenocycler,Z:/FUSION DATA/AshleyVolaric/Phenocycler/234_CTEBV2_cropped.ome.tiff,CTEBV_2,Phenocycler,
Phenocycler,Z:/FUSION DATA/AshleyVolaric/Phenocycler/236_D-EB-13_cropped.ome.tiff,D_EB_13,Phenocycler,
Phenocycler,Z:/FUSION DATA/AshleyVolaric/Phenocycler/236_D-EB-62_cropped.ome.tiff,D_EB_62,Phenocycler,
Phenocycler,Z:/FUSION DATA/AshleyVolaric/Phenocycler/237_D-EB-15_ cropped.ome.tiff,D_EB_15,Phenocycler,
Phenocycler,Z:/FUSION DATA/AshleyVolaric/Phenocycler/237_D-EB-16_cropped.ome.tiff,D_EB_16,Phenocycler,
Phenocycler,Z:/FUSION DATA/AshleyVolaric/Phenocycler/241_D-EB-21_cropped.ome.tiff,D_EB_21,Phenocycler,
Phenocycler,Z:/FUSION DATA/AshleyVolaric/Phenocycler/241_D-EB-22_cropped.ome.tiff,D_EB_22,Phenocycler,
Phenocycler,Z:/FUSION DATA/AshleyVolaric/Phenocycler/242_D-EB-23_cropped.ome.tiff,D_EB_23,Phenocycler,
Phenocycler,Z:/FUSION DATA/AshleyVolaric/Phenocycler/242_D-EB-24_cropped.ome.tiff,D_EB_24,Phenocycler,
Phenocycler,Z:/FUSION DATA/AshleyVolaric/Phenocycler/CellPelletSlide_Control_Scan1_Phenocycler_GM12878.ome.tiff,GM12878,Phenocycler,negative_probe
Phenocycler,Z:/FUSION DATA/AshleyVolaric/Phenocycler/CellPelletSlide_Control_Scan1_Phenocycler_GM18502.ome.tiff,GM18502,Phenocycler,negative_probe
Phenocycler,Z:/FUSION DATA/AshleyVolaric/Phenocycler/CellPelletSlide_Control_Scan1_Phenocycler_PC3Chung.ome.tiff,PC3Chung,Phenocycler,negative_probe
