"","assay","unique_id","sizeC_max","sizeC_min","resolutionLevel_max","tiff_file"
"1","Phenocycler","CTEBV_11",6,6,8,"Z:/FUSION DATA/AshleyVolaric/Phenocycler/207_CTEBV11_cropped.ome.tiff"
"2","Phenocycler","CTEBV_2",6,6,8,"Z:/FUSION DATA/AshleyVolaric/Phenocycler/234_CTEBV2_cropped.ome.tiff"
"3","Phenocycler","D_EB_13",6,6,9,"Z:/FUSION DATA/AshleyVolaric/Phenocycler/236_D-EB-13_cropped.ome.tiff"
"4","Phenocycler","D_EB_15",6,6,9,"Z:/FUSION DATA/AshleyVolaric/Phenocycler/237_D-EB-15_ cropped.ome.tiff"
"5","Phenocycler","D_EB_16",6,6,8,"Z:/FUSION DATA/AshleyVolaric/Phenocycler/237_D-EB-16_cropped.ome.tiff"
"6","Phenocycler","D_EB_2",6,6,6,"Z:/FUSION DATA/AshleyVolaric/Phenocycler/201_D-EB-2_cropped.ome.tiff"
"7","Phenocycler","D_EB_21",6,6,8,"Z:/FUSION DATA/AshleyVolaric/Phenocycler/241_D-EB-21_cropped.ome.tiff"
"8","Phenocycler","D_EB_22",6,6,7,"Z:/FUSION DATA/AshleyVolaric/Phenocycler/241_D-EB-22_cropped.ome.tiff"
"9","Phenocycler","D_EB_23",6,6,8,"Z:/FUSION DATA/AshleyVolaric/Phenocycler/242_D-EB-23_cropped.ome.tiff"
"10","Phenocycler","D_EB_24",6,6,9,"Z:/FUSION DATA/AshleyVolaric/Phenocycler/242_D-EB-24_cropped.ome.tiff"
"11","Phenocycler","D_EB_27",6,6,9,"Z:/FUSION DATA/AshleyVolaric/Phenocycler/230_D-EB-27_crooped.ome.tiff"
"12","Phenocycler","D_EB_29",6,6,9,"Z:/FUSION DATA/AshleyVolaric/Phenocycler/230_D-EB-29_cropped.ome.tiff"
"13","Phenocycler","D_EB_3",6,6,8,"Z:/FUSION DATA/AshleyVolaric/Phenocycler/201_D-EB-3_cropped.ome.tiff"
"14","Phenocycler","D_EB_5",6,6,6,"Z:/FUSION DATA/AshleyVolaric/Phenocycler/202_D-EB-5_cropped.ome.tiff"
"15","Phenocycler","D_EB_6",6,6,8,"Z:/FUSION DATA/AshleyVolaric/Phenocycler/203_D-EB-6_cropped.ome.tiff"
"16","Phenocycler","D_EB_7",6,6,6,"Z:/FUSION DATA/AshleyVolaric/Phenocycler/203_D-EB-7_cropped.ome.tiff"
"17","Phenocycler_JRB","D_EB_18",16,16,8,"Z:/FUSION DATA/AshleyVolaric/Phenocycler/JRB_D-EB-18.ome.tiff"
"18","Phenocycler_JRB","D_EB_20",16,16,8,"Z:/FUSION DATA/AshleyVolaric/Phenocycler/JRB_D-EB-20.tiff"
"19","Phenocycler_JRB","D_EB_8",16,16,6,"Z:/FUSION DATA/AshleyVolaric/Phenocycler/JRB_D-EB-8.ome.tiff"
"20","RNAScope_3plex+IF","CTEBV_1",6,6,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/235_CTEBV1.tif"
"21","RNAScope_3plex+IF","CTEBV_1",6,6,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/234_CTEBV1_CTEBV2.tif"
"22","RNAScope_3plex+IF","CTEBV_11",6,6,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/207_CTEBV11_CTEBV9.tif"
"23","RNAScope_3plex+IF","CTEBV_12",6,6,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/208_CTEBV12.tif"
"24","RNAScope_3plex+IF","CTEBV_14",6,6,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/244_CTEBV14.tif"
"25","RNAScope_3plex+IF","CTEBV_15",6,6,9,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/232_CTEBV15.tif"
"26","RNAScope_3plex+IF","CTEBV_2",6,6,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/234_CTEBV1_CTEBV2.tif"
"27","RNAScope_3plex+IF","CTEBV_6",6,6,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/233_CTEBV6.tif"
"28","RNAScope_3plex+IF","D_EB_10",6,6,9,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/227_D-EB-10.tif"
"29","RNAScope_3plex+IF","D_EB_13",6,6,9,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/236_D-EB-13_D-EB-62.tif"
"30","RNAScope_3plex+IF","D_EB_15",6,6,9,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/237_D-EB-15_D-EB-16.tif"
"31","RNAScope_3plex+IF","D_EB_16",6,6,9,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/237_D-EB-15_D-EB-16.tif"
"32","RNAScope_3plex+IF","D_EB_17",6,6,9,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/238_D-EB-17.tif"
"33","RNAScope_3plex+IF","D_EB_18",6,6,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/239_D-EB-18.tif"
"34","RNAScope_3plex+IF","D_EB_2",6,6,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/201_D-EB-2_D-EB-3.tif"
"35","RNAScope_3plex+IF","D_EB_20",6,6,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/240_D-EB-20.tif"
"36","RNAScope_3plex+IF","D_EB_21",6,6,9,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/241_D-EB-21_D-EB-22.tif"
"37","RNAScope_3plex+IF","D_EB_22",6,6,9,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/241_D-EB-21_D-EB-22.tif"
"38","RNAScope_3plex+IF","D_EB_23",6,6,9,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/242_D-EB-23_D-EB-24.tif"
"39","RNAScope_3plex+IF","D_EB_24",6,6,9,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/242_D-EB-23_D-EB-24.tif"
"40","RNAScope_3plex+IF","D_EB_25",6,6,9,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/243_D-EB-25.tif"
"41","RNAScope_3plex+IF","D_EB_27",6,6,9,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/230_D-EB-27_D-EB-29.tif"
"42","RNAScope_3plex+IF","D_EB_29",6,6,9,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/230_D-EB-27_D-EB-29.tif"
"43","RNAScope_3plex+IF","D_EB_3",6,6,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/201_D-EB-2_D-EB-3.tif"
"44","RNAScope_3plex+IF","D_EB_30",6,6,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/229_D-EB-30.tif"
"45","RNAScope_3plex+IF","D_EB_31",6,6,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/206_D-EB-31.tif"
"46","RNAScope_3plex+IF","D_EB_32",6,6,9,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/205_D-EB-32.tif"
